filename,subtype,split_assignment,decision,final_onset_frame_original,final_onset_frame_clean,exclude_reason,recommended_onset,reviewer,reviewed_at
"E4_S03_A_FALL_WALK_B_T010.csv","FALL_WALK_B","train","exclude","","","beep_misfire","294","jinkyu","2026-06-05T18:51:52.603Z"
"E4_S01_A_FALL_WALK_F_T003.csv","FALL_WALK_F","train","exclude","","","walking_residual","207","jinkyu","2026-06-05T18:31:42.369Z"
"E4_S01_A_FALL_WALK_F_T001.csv","FALL_WALK_F","train","exclude","","","walking_residual","249","jinkyu","2026-06-05T18:31:52.528Z"
"E3_S03_A_FALL_WALK_B_T005.csv","FALL_WALK_B","train","exclude","","","no_clear_transient","","jinkyu","2026-06-05T18:51:58.763Z"
"E2_S02_A_FALL_SIT_B_T007.csv","FALL_SIT_B","train","modify","209","109","","252","jinkyu","2026-06-05T19:32:36.269Z"
"E4_S02_A_FALL_SIT_B_T004.csv","FALL_SIT_B","train","modify","325","225","","338","jinkyu","2026-06-05T19:32:41.160Z"
"E3_S03_A_FALL_SIT_B_T006.csv","FALL_SIT_B","train","exclude","","","no_clear_transient","","jinkyu","2026-06-05T19:32:44.065Z"
"E2_S02_A_FALL_WALK_F_T008.csv","FALL_WALK_F","train","exclude","","","beep_misfire","","jinkyu","2026-06-05T18:34:44.526Z"
"E4_S01_A_FALL_SIT_B_T009.csv","FALL_SIT_B","train","exclude","","","no_clear_transient","240","jinkyu","2026-06-05T19:33:57.445Z"
"E4_S01_A_FALL_STD_F_T008.csv","FALL_STD_F","train","modify","292","192","","307","jinkyu","2026-06-05T19:14:43.958Z"
"E3_S03_A_FALL_WALK_B_T003.csv","FALL_WALK_B","train","exclude","","","no_clear_transient","","jinkyu","2026-06-05T18:52:02.377Z"
"E4_S01_A_FALL_SIT_F_T004.csv","FALL_SIT_F","train","exclude","","","no_clear_transient","259","jinkyu","2026-06-05T19:31:31.177Z"
"E1_S01_A_FALL_STD_F_T001.csv","FALL_STD_F","train","modify","306","206","","309","jinkyu","2026-06-05T19:17:29.986Z"
"E1_S01_A_FALL_STD_F_T007.csv","FALL_STD_F","train","modify","307","207","","309","jinkyu","2026-06-05T19:17:49.174Z"
"E4_S03_A_FALL_WALK_B_T006.csv","FALL_WALK_B","train","modify","279","179","","286","jinkyu","2026-06-05T18:53:58.773Z"
"E3_S03_A_FALL_STD_F_T003.csv","FALL_STD_F","train","exclude","","","beep_misfire","201","jinkyu","2026-06-05T19:20:06.595Z"
"E4_S01_A_FALL_WALK_B_T005.csv","FALL_WALK_B","train","modify","281","181","","293","jinkyu","2026-06-05T18:58:35.917Z"
"E4_S02_A_FALL_STD_B_T009.csv","FALL_STD_B","train","modify","214","114","","219","jinkyu","2026-06-05T19:28:27.860Z"
"E1_S01_A_FALL_SIT_B_T002.csv","FALL_SIT_B","train","exclude","","","no_clear_transient","265","jinkyu","2026-06-05T19:34:01.670Z"
"E3_S03_A_FALL_WALK_B_T008.csv","FALL_WALK_B","train","exclude","","","no_clear_transient","","jinkyu","2026-06-05T18:58:42.461Z"
"E4_S02_A_FALL_STD_F_T006.csv","FALL_STD_F","train","modify","309","209","","311","jinkyu","2026-06-05T19:20:18.048Z"
"E3_S03_A_FALL_SIT_F_T010.csv","FALL_SIT_F","train","exclude","","","no_clear_transient","236","jinkyu","2026-06-05T19:31:33.346Z"
"E4_S03_A_FALL_WALK_B_T003.csv","FALL_WALK_B","train","modify","241","141","","273","jinkyu","2026-06-05T19:01:00.453Z"
"E4_S03_A_FALL_WALK_B_T001.csv","FALL_WALK_B","train","exclude","","","no_clear_transient","286","jinkyu","2026-06-05T19:01:43.206Z"
"E2_S02_A_FALL_SIT_F_T001.csv","FALL_SIT_F","train","exclude","","","no_clear_transient","","jinkyu","2026-06-05T19:31:35.403Z"
"E4_S01_A_FALL_WALK_B_T001.csv","FALL_WALK_B","train","exclude","","","no_clear_transient","219","jinkyu","2026-06-05T19:02:42.768Z"
"E4_S02_A_FALL_SIT_B_T001.csv","FALL_SIT_B","train","exclude","","","no_clear_transient","295","jinkyu","2026-06-05T19:34:04.995Z"
"E1_S01_A_FALL_STD_F_T009.csv","FALL_STD_F","val","exclude","","","no_clear_transient","309","jinkyu","2026-06-05T19:21:48.560Z"
"E4_S01_A_FALL_WALK_F_T002.csv","FALL_WALK_F","train","modify","371","271","","316","jinkyu","2026-06-05T18:35:45.864Z"
"E1_S01_A_FALL_WALK_B_T005.csv","FALL_WALK_B","train","modify","276","176","","282","jinkyu","2026-06-05T19:03:01.770Z"
"E1_S01_A_FALL_SIT_F_T004.csv","FALL_SIT_F","train","modify","244","144","","251","jinkyu","2026-06-05T19:31:41.782Z"
"E2_S02_A_FALL_STD_B_T001.csv","FALL_STD_B","train","exclude","","","no_clear_transient","215","jinkyu","2026-06-05T19:30:04.068Z"
"E3_S03_A_FALL_SIT_B_T001.csv","FALL_SIT_B","train","exclude","","","no_clear_transient","","jinkyu","2026-06-05T19:34:07.201Z"
"E4_S01_A_FALL_WALK_B_T010.csv","FALL_WALK_B","train","exclude","","","no_clear_transient","","jinkyu","2026-06-05T19:04:08.737Z"
"E3_S03_A_FALL_SIT_B_T004.csv","FALL_SIT_B","train","exclude","","","no_clear_transient","","jinkyu","2026-06-05T19:34:09.449Z"
"E1_S01_A_FALL_WALK_B_T003.csv","FALL_WALK_B","train","modify","277","177","","282","jinkyu","2026-06-05T19:04:19.623Z"
"E4_S03_A_FALL_STD_F_T002.csv","FALL_STD_F","train","modify","217","117","","245","jinkyu","2026-06-05T19:24:39.024Z"
"E4_S01_A_FALL_WALK_B_T007.csv","FALL_WALK_B","train","modify","346","246","","200","jinkyu","2026-06-05T19:06:42.435Z"
"E4_S01_A_FALL_WALK_F_T007.csv","FALL_WALK_F","train","exclude","","","walking_residual","286","jinkyu","2026-06-05T18:37:42.522Z"
"E3_S03_A_FALL_STD_B_T007.csv","FALL_STD_B","train","exclude","","","no_clear_transient","202","jinkyu","2026-06-05T19:30:07.692Z"
"E3_S03_A_FALL_STD_F_T002.csv","FALL_STD_F","val","modify","250","150","","259","jinkyu","2026-06-05T19:24:45.580Z"
"E3_S03_A_FALL_SIT_B_T003.csv","FALL_SIT_B","train","exclude","","","no_clear_transient","","jinkyu","2026-06-05T19:34:11.575Z"
"E4_S02_A_FALL_SIT_B_T007.csv","FALL_SIT_B","train","exclude","","","no_clear_transient","","jinkyu","2026-06-05T19:34:15.014Z"
"E4_S03_A_FALL_STD_F_T004.csv","FALL_STD_F","train","modify","264","164","","272","jinkyu","2026-06-05T19:27:41.362Z"
"E4_S02_A_FALL_WALK_B_T002.csv","FALL_WALK_B","train","modify","285","185","","285","jinkyu","2026-06-05T19:08:00.959Z"
"E2_S02_A_FALL_WALK_B_T004.csv","FALL_WALK_B","train","modify","143","93","","238","jinkyu","2026-06-05T19:09:32.321Z"
"E4_S02_A_FALL_WALK_B_T003.csv","FALL_WALK_B","train","exclude","","","no_clear_transient","213","jinkyu","2026-06-05T19:09:36.346Z"
"E4_S01_A_FALL_WALK_B_T008.csv","FALL_WALK_B","train","exclude","","","walking_residual","262","jinkyu","2026-06-05T19:09:45.551Z"
"E3_S03_A_FALL_WALK_B_T007.csv","FALL_WALK_B","train","exclude","","","no_clear_transient","227","jinkyu","2026-06-05T19:09:49.619Z"
"E3_S03_A_FALL_SIT_B_T002.csv","FALL_SIT_B","train","exclude","","","no_clear_transient","275","jinkyu","2026-06-05T19:34:19.782Z"
"E4_S03_A_FALL_SIT_F_T002.csv","FALL_SIT_F","train","modify","326","226","","212","jinkyu","2026-06-05T19:31:50.261Z"
"E3_S03_A_FALL_SIT_F_T006.csv","FALL_SIT_F","train","modify","271","171","","265","jinkyu","2026-06-05T19:31:56.211Z"
"E3_S03_A_FALL_STD_B_T008.csv","FALL_STD_B","val","exclude","","","no_clear_transient","233","jinkyu","2026-06-05T19:30:10.640Z"
"E1_S01_A_FALL_WALK_F_T005.csv","FALL_WALK_F","train","approve","250","150","","250","jinkyu","2026-06-05T18:37:52.929Z"
"E3_S03_A_FALL_WALK_F_T001.csv","FALL_WALK_F","train","exclude","","","no_clear_transient","292","jinkyu","2026-06-05T18:38:03.569Z"
